名目原系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,,(単位:10億円)
Nominal Gross Domestic Product (original series),,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,,(Billion Yen)
,?内?生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫品?加,政府最終消費支出,公的固定?本形成,公的在庫品?加,財貨・サービス,,,,海外からの?得,,,?民??得,,?内需要,民間需要,公的需要,,?固定?本形成,,?内?生産(支出側)(?FISIM）,家計最終消費支出（?FISIM）,財貨・サービス,
http://www.data.go.jp/data/en/dataset/cao_20160201_0056/resource/d54c9af2-77d5-4c51-9f17-19c75be88fc3?inner_span=True,,,家計最終消費支出,,,,,,,,?輸出,輸出,輸入,,?受取,受取,支払,,,,,,,,,,,輸出,輸入
,,,,?く?ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,（?FISIM）,（?FISIM）
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,GDP,Consumption ofHouseholds,Export,Import
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,Excluding FISIM,,,
10-12.,"139,565.10","75,110.10","73,430.00","63,311.90","5,532.10","18,648.00","3,379.70","22,212.60","12,136.10",196.1,"2,350.20","14,924.80","12,574.60",,"1,630.50","3,523.00","1,892.50","141,195.60",,"137,214.90","102,670.00","34,544.80",,"36,316.20",,"137,921.40","71,979.80","14,907.60","12,528.10"
1998/ 1- 3.,"124,741.60","70,111.90","69,399.90","59,201.40","5,134.90","21,179.70","-3,175.90","19,494.40","10,024.30",73.1,"1,899.20","13,850.20","11,951.00",,"2,002.30","4,001.50","1,999.20","126,743.90",,"122,842.40","93,250.60","29,591.80",,"36,339.00",,"123,088.20","67,938.10","13,833.00","11,904.50"
4- 6.,"126,065.50","69,673.40","68,133.70","57,880.30","5,063.70","17,244.10","2,435.50","21,897.70","7,304.10",-15.1,"2,462.10","13,860.20","11,398.20",,"1,593.70","3,630.20","2,036.40","127,659.20",,"123,603.40","94,416.70","29,186.70",,"29,611.90",,"124,333.70","66,664.80","13,807.00","11,394.20"
7- 9.,"124,762.90","72,430.10","71,109.80","60,773.10","5,281.30","18,617.30",-590.8,"17,561.40","8,901.20",-63.1,"2,625.50","14,324.70","11,699.30",,"1,833.30","3,615.80","1,782.40","126,596.20",,"122,137.40","95,737.90","26,399.50",,"32,799.80",,"123,034.60","69,637.90","14,271.50","11,695.30"
10-12.,"136,868.60","75,329.60","73,459.20","63,104.90","4,919.00","15,830.00","2,885.80","22,629.70","12,783.90",-85.1,"2,575.80","13,192.70","10,617.00",,"1,522.40","2,922.70","1,400.20","138,391.10",,"134,292.90","98,964.40","35,328.50",,"33,532.90",,"135,117.80","71,963.30","13,139.50","10,613.00"
1999/ 1- 3.,"123,222.20","70,647.80","69,769.80","59,390.50","4,579.40","19,257.10","-4,729.70","19,921.30","11,427.70",14.6,"2,104.10","12,329.00","10,225.00",,"1,837.20","3,420.30","1,583.00","125,059.50",,"121,118.20","89,754.60","31,363.50",,"35,264.20",,"121,469.10","68,272.30","12,275.80","10,221.00"
4- 6.,"124,950.10","70,521.40","68,911.90","58,472.10","5,026.80","15,550.20","1,272.10","22,517.70","8,130.50",-40.2,"1,971.70","12,676.20","10,704.50",,"1,596.60","2,919.00","1,322.40","126,546.70",,"122,978.40","92,370.50","30,607.90",,"28,707.50",,"123,215.00","67,388.20","12,619.90","10,677.60"
7- 9.,"122,883.20","72,679.50","71,265.50","60,758.30","5,501.20","17,783.50","-1,670.30","18,038.40","8,533.90",-34.9,"2,052.00","13,145.40","11,093.40",,"1,643.40","2,757.70","1,114.30","124,526.60",,"120,831.20","94,293.90","26,537.40",,"31,818.60",,"121,164.60","69,739.90","13,089.10","11,066.50"
10-12.,"133,847.60","75,028.40","73,105.90","62,548.80","5,058.10","16,084.20","1,437.20","22,649.40","11,747.30",-59.1,"1,902.10","13,215.00","11,312.90",,"1,299.60","2,385.00","1,085.40","135,147.20",,"131,945.50","97,607.90","34,337.70",,"32,889.60",,"132,087.80","71,548.90","13,158.70","11,286.00"
2000/ 1- 3.,"124,918.30","71,278.10","70,280.30","59,677.60","4,830.60","20,410.10","-4,272.70","20,428.20","10,140.30",83.5,"2,020.30","13,340.00","11,319.70",,"1,812.70","3,120.20","1,307.50","126,731.00",,"122,898.00","92,246.00","30,652.00",,"35,381.00",,"123,162.20","68,730.80","13,283.70","11,292.80"
4- 6.,"125,977.90","70,208.40","68,807.10","58,136.30","4,997.00","15,908.30","2,400.50","23,146.90","7,291.70",-19.8,"2,044.80","13,626.80","11,581.90",,"1,510.90","2,753.50","1,242.60","127,488.70",,"123,933.00","93,514.20","30,418.80",,"28,197.10",,"124,226.10","67,261.30","13,577.70","11,546.70"
7- 9.,"124,216.40","72,002.50","70,723.60","60,000.30","5,260.70","18,466.20",-901.6,"19,061.80","8,319.30",-34.1,"2,041.40","14,158.70","12,117.20",,"1,647.30","2,883.10","1,235.80","125,863.70",,"122,175.00","94,827.90","27,347.10",,"32,046.30",,"122,406.70","69,181.90","14,109.60","12,082.00"
10-12.,"134,747.40","74,678.30","72,992.60","62,213.30","5,216.50","17,405.30","2,241.10","23,670.80","10,269.20",-13.6,"1,279.80","14,334.00","13,054.10",,"1,508.90","2,876.80","1,367.90","136,256.30",,"133,467.60","99,541.20","33,926.40",,"32,891.10",,"132,754.50","71,393.00","14,284.90","13,018.90"
2001/ 1- 3.,"125,893.00","71,645.10","70,781.50","59,979.70","4,845.60","20,296.60","-3,405.50","21,484.10","10,090.00",52.1,885,"13,709.30","12,824.20",,"2,356.90","3,749.30","1,392.40","128,249.80",,"125,007.90","93,381.80","31,626.20",,"35,232.20",,"123,783.80","69,186.80","13,660.20","12,789.00"
4- 6.,"125,736.80","71,105.20","69,652.10","58,762.70","4,591.80","16,193.80","2,635.00","24,034.50","6,646.50",-65.9,596,"13,233.30","12,637.30",,"1,854.80","3,405.30","1,550.50","127,591.70",,"125,140.90","94,525.70","30,615.20",,"27,432.10",,"123,581.40","68,127.30","13,164.20","12,583.60"
7- 9.,"122,426.70","72,495.40","71,138.00","60,195.40","4,868.40","17,974.30","-1,062.80","19,770.10","7,667.00",-74.2,788.6,"13,014.50","12,225.90",,"2,145.90","3,431.70","1,285.80","124,572.60",,"121,638.10","94,275.20","27,362.90",,"30,509.70",,"120,210.80","69,642.00","12,945.40","12,172.20"
10-12.,"131,486.80","74,542.30","72,783.80","61,794.00","4,748.20","15,395.60","1,967.50","24,365.90","9,518.20",-15.6,964.6,"12,866.30","11,901.70",,"2,031.60","3,240.30","1,208.70","133,518.40",,"130,522.20","96,653.70","33,868.50",,"29,662.10",,"129,168.20","71,259.60","12,797.20","11,848.00"
2002/ 1- 3.,"122,060.40","70,949.10","69,965.80","58,947.40","4,378.00","18,123.10","-4,464.80","22,231.70","9,243.60",18.2,"1,581.60","13,434.80","11,853.20",,"2,576.80","3,675.30","1,098.50","124,637.20",,"120,478.80","88,985.30","31,493.50",,"31,744.60",,"119,653.90","68,409.10","13,365.70","11,799.50"
4- 6.,"123,498.80","70,745.90","69,393.00","58,365.30","4,437.80","14,444.00","1,453.00","24,381.70","6,189.70",-19.9,"1,866.60","14,031.60","12,165.00",,"1,939.30","3,207.50","1,268.20","125,438.10",,"121,632.20","91,080.70","30,551.50",,"25,071.50",,"120,990.70","67,820.00","13,941.60","12,165.00"
7- 9.,"122,145.60","72,883.20","71,588.30","60,525.70","4,763.20","16,605.20",-977.8,"20,155.00","7,158.80",-21.3,"1,579.30","13,865.30","12,286.00",,"2,041.70","3,200.10","1,158.40","124,187.30",,"120,566.30","93,273.80","27,292.50",,"28,527.20",,"119,586.00","69,976.70","13,775.30","12,286.00"
10-12.,"131,442.20","74,460.00","72,791.80","61,698.70","4,569.20","15,289.90","1,967.10","24,537.80","9,009.10",-60.7,"1,669.80","14,836.50","13,166.70",,"1,483.90","2,685.20","1,201.30","132,926.10",,"129,772.40","96,286.20","33,486.20",,"28,868.10",,"128,850.10","71,152.00","14,746.50","13,166.70"
2003/ 1- 3.,"120,922.10","70,735.60","69,801.10","58,673.10","4,231.10","18,079.60","-3,751.50","21,619.90","8,547.90",18.3,"1,441.30","14,305.60","12,864.30",,"2,342.40","3,372.00","1,029.60","123,264.50",,"119,480.80","89,294.80","30,186.10",,"30,858.50",,"118,300.60","68,149.90","14,215.60","12,864.30"
4- 6.,"124,221.90","70,489.90","69,047.60","57,872.10","4,288.90","15,001.40","1,796.70","24,903.00","5,676.10",5.5,"2,060.50","14,424.00","12,363.60",,"1,860.80","3,009.80","1,149.00","126,082.80",,"122,161.50","91,576.80","30,584.60",,"24,966.40",,"121,589.20","67,377.10","14,338.90","12,342.30"
7- 9.,"122,298.90","71,936.40","70,533.10","59,310.30","4,802.20","16,598.90",-43.3,"20,339.30","6,431.90",-30.3,"2,263.80","14,983.30","12,719.60",,"2,412.40","3,369.90",957.5,"124,711.30",,"120,035.10","93,294.20","26,740.90",,"27,833.00",,"119,700.50","68,884.10","14,898.20","12,698.30"
10-12.,"131,411.80","74,352.30","72,571.50","61,344.60","4,587.30","15,948.80","1,629.40","24,481.10","8,029.80",-108.4,"2,491.60","15,514.80","13,023.30",,"1,646.40","2,668.40","1,022.00","133,058.30",,"128,920.30","96,517.80","32,402.50",,"28,565.80",,"128,834.10","70,935.00","15,429.70","13,002.00"
2004/ 1- 3.,"123,956.50","71,518.70","70,493.40","59,239.40","4,322.10","18,299.10","-2,909.20","21,690.10","8,453.90",-53,"2,634.90","15,794.00","13,159.20",,"2,611.10","3,566.50",955.4,"126,567.60",,"121,321.60","91,230.60","30,091.00",,"31,075.10",,"121,393.70","68,880.10","15,708.90","13,137.90"
4- 6.,"125,101.70","70,856.00","69,432.20","58,153.80","4,430.40","15,271.50","2,193.30","24,701.40","5,066.30",-3.5,"2,586.40","16,410.40","13,823.90",,"2,105.40","3,360.20","1,254.80","127,207.10",,"122,515.30","92,751.20","29,764.10",,"24,768.20",,"122,563.70","67,836.20","16,352.90","13,823.00"
7- 9.,"123,083.30","72,380.70","70,985.80","59,687.40","4,847.70","17,157.90",138,"20,440.00","5,753.10",-1.5,"2,367.40","16,907.50","14,540.00",,"2,585.30","3,617.10","1,031.80","125,668.50",,"120,715.80","94,524.30","26,191.60",,"27,758.70",,"120,566.20","69,399.30","16,850.00","14,539.10"
10-12.,"131,583.90","73,843.90","72,058.50","60,726.70","4,745.30","16,041.70","2,205.90","25,077.80","7,397.90",0.6,"2,270.70","17,432.00","15,161.20",,"2,084.70","3,378.60","1,293.90","133,668.50",,"129,313.10","96,836.80","32,476.30",,"28,184.90",,"129,042.40","70,454.90","17,374.50","15,160.30"
2005/ 1- 3.,"122,991.90","71,332.20","70,327.20","58,960.50","4,357.70","19,375.80","-3,299.20","21,840.00","7,408.90",45.6,"1,930.90","16,518.80","14,587.80",,"3,055.70","4,265.80","1,210.10","126,047.60",,"121,061.00","91,766.50","29,294.50",,"31,142.30",,"120,396.10","68,666.30","16,461.30","14,586.90"
4- 6.,"125,546.30","71,371.50","69,881.50","58,491.60","4,307.50","16,266.90","2,438.00","24,898.40","4,530.30",-5.6,"1,739.40","17,288.20","15,548.80",,"2,534.40","4,234.80","1,700.30","128,080.70",,"123,806.90","94,383.90","29,423.10",,"25,104.70",,"122,930.80","68,175.80","17,237.60","15,525.30"
7- 9.,"123,244.90","73,100.60","71,686.10","60,268.80","4,798.20","18,138.00",-150.2,"20,549.20","5,365.90",6,"1,437.40","18,329.20","16,891.80",,"3,363.30","4,529.60","1,166.20","126,608.30",,"121,807.60","95,886.50","25,921.10",,"28,302.10",,"120,648.60","69,973.00","18,278.60","16,868.30"
10-12.,"132,119.90","75,328.40","73,450.60","61,981.00","4,814.90","16,288.40","1,601.10","25,180.60","6,921.30",-0.9,"1,986.10","19,985.80","17,999.70",,"2,795.90","4,500.20","1,704.20","134,915.80",,"130,133.80","98,032.80","32,101.00",,"28,024.70",,"129,509.20","71,721.80","19,935.20","17,976.20"
2006/ 1- 3.,"124,438.30","72,597.30","71,548.70","60,049.60","4,470.30","19,942.40","-3,274.20","21,803.20","7,420.80",31.1,"1,447.50","19,501.30","18,053.80",,"4,442.10","5,821.00","1,378.80","128,880.40",,"122,990.80","93,735.70","29,255.10",,"31,833.40",,"121,848.40","69,828.00","19,450.70","18,030.30"
4- 6.,"125,457.50","72,278.80","70,709.70","59,191.30","4,435.20","16,623.90","1,650.10","24,783.20","4,469.30",-8.3,"1,225.40","19,693.60","18,468.20",,"3,007.10","5,200.90","2,193.80","128,464.70",,"124,232.20","94,988.00","29,244.20",,"25,528.40",,"122,920.90","68,977.20","19,649.40","18,421.40"
7- 9.,"123,059.40","72,949.30","71,530.20","60,011.90","4,887.90","18,540.90",-166.9,"20,425.10","4,870.70",3.7,"1,548.70","20,928.90","19,380.20",,"3,936.20","5,445.50","1,509.30","126,995.60",,"121,510.70","96,211.20","25,299.50",,"28,299.50",,"120,512.30","69,770.60","20,884.70","19,333.40"
10-12.,"133,731.80","75,608.00","73,634.10","62,090.00","4,901.50","17,747.10","1,799.50","24,954.70","6,586.10",-11.2,"2,146.20","21,815.70","19,669.50",,"3,079.10","5,280.90","2,201.80","136,810.90",,"131,585.60","100,056.00","31,529.50",,"29,234.70",,"131,190.50","71,864.30","21,771.50","19,622.70"
2007/ 1- 3.,"126,857.70","72,539.10","71,513.40","59,940.10","4,556.70","21,738.70","-2,814.30","21,775.50","6,850.40",8.7,"2,202.80","21,628.00","19,425.20",,"5,071.70","6,797.30","1,725.60","131,929.40",,"124,654.90","96,020.40","28,634.50",,"33,145.90",,"124,361.40","69,770.30","21,583.80","19,378.40"
4- 6.,"127,447.50","72,452.20","70,944.20","59,354.90","4,451.10","17,257.80","2,252.40","24,991.40","4,155.20",22.5,"1,865.00","22,310.40","20,445.40",,"3,992.80","6,613.50","2,620.70","131,440.40",,"125,582.60","96,413.50","29,169.00",,"25,864.10",,"125,005.20","69,245.10","22,256.40","20,405.90"
7- 9.,"124,630.40","73,433.10","72,059.80","60,455.60","4,413.20","19,078.50",-106.5,"20,562.70","4,769.10",-18.7,"2,499.00","23,168.60","20,669.60",,"4,612.60","6,699.40","2,086.80","129,243.10",,"122,131.50","96,818.30","25,313.20",,"28,260.90",,"122,293.00","70,426.60","23,114.60","20,630.10"
10-12.,"134,039.60","75,697.50","73,797.30","62,173.70","3,785.90","18,198.80","2,262.60","25,463.30","6,525.60",-0.8,"2,106.50","23,929.60","21,823.10",,"3,660.70","6,302.20","2,641.50","137,700.30",,"131,933.10","99,944.90","31,988.20",,"28,510.40",,"131,777.10","72,215.60","23,875.60","21,783.60"
2008/ 1- 3.,"126,905.80","73,144.70","72,160.10","60,511.70","3,703.80","22,296.60","-2,750.90","22,238.10","6,632.80",49.3,"1,591.40","23,029.10","21,437.70",,"5,463.30","7,095.20","1,631.90","132,369.10",,"125,314.40","96,394.20","28,920.20",,"32,633.20",,"124,716.30","70,635.80","22,975.10","21,398.20"
4- 6.,"125,002.10","71,842.20","70,458.90","58,803.00","3,894.70","17,388.30","2,489.10","24,903.80","3,945.80",18.9,519.1,"22,779.20","22,260.10",,"3,649.50","6,348.00","2,698.50","128,651.50",,"124,482.90","95,614.40","28,868.60",,"25,228.90",,"122,895.50","69,071.70","22,705.10","22,260.10"
7- 9.,"121,452.90","73,376.20","72,004.00","60,327.00","4,450.30","18,881.80",-371.9,"20,618.80","4,681.10",-23.2,-160.2,"24,134.90","24,295.10",,"4,710.90","6,387.30","1,676.40","126,163.80",,"121,613.10","96,336.40","25,276.70",,"28,013.20",,"119,438.70","70,695.90","24,060.80","24,295.10"
10-12.,"127,848.50","73,692.30","71,810.40","60,125.80","4,424.30","16,044.80","3,248.30","25,258.70","6,117.80",40.2,-977.9,"18,826.80","19,804.70",,"2,969.30","5,089.20","2,119.90","130,817.80",,"128,826.40","97,409.70","31,416.70",,"26,586.90",,"125,854.90","70,506.90","18,752.70","19,804.70"
2009/ 1- 3.,"115,216.60","69,194.70","68,210.60","56,535.00","3,758.30","18,699.80","-4,024.20","22,113.70","6,455.50",19.2,"-1,000.30","12,869.70","13,870.00",,"3,942.60","5,377.10","1,434.50","119,159.20",,"116,216.90","87,628.50","28,588.40",,"28,913.60",,"113,191.50","66,851.70","12,795.60","13,870.00"
4- 6.,"116,932.20","69,757.40","68,398.50","56,717.90","3,241.60","14,015.50",263.8,"24,940.10","4,294.10",-11.7,431.5,"14,142.70","13,711.20",,"3,254.80","5,091.60","1,836.80","120,187.00",,"116,500.70","87,278.20","29,222.50",,"21,551.10",,"114,981.10","67,114.40","14,070.70","13,711.20"
7- 9.,"114,750.40","70,849.30","69,361.00","57,679.40","3,235.50","15,367.90","-1,650.50","21,205.40","4,927.90",-34.8,849.7,"15,811.80","14,962.10",,"3,569.00","4,723.20","1,154.20","118,319.40",,"113,900.70","87,802.20","26,098.50",,"23,531.30",,"112,800.10","68,064.20","15,739.80","14,962.10"
10-12.,"124,239.40","73,140.30","71,249.60","59,563.30","3,138.80","14,303.00",105.1,"25,560.40","6,552.70",-6.6,"1,445.70","16,989.90","15,544.20",,"2,311.40","3,698.90","1,387.50","126,550.80",,"122,793.70","90,687.20","32,106.50",,"23,994.50",,"122,280.00","69,938.30","16,917.90","15,544.20"
2010/ 1- 3.,"118,074.30","70,463.90","69,412.10","57,734.70","3,026.10","17,031.60","-3,706.10","22,533.00","7,053.90",20.1,"1,651.70","17,624.30","15,972.60",,"3,934.80","4,919.90",985.1,"122,009.10",,"116,422.60","86,815.60","29,607.00",,"27,111.60",,"116,132.00","68,113.80","17,552.30","15,972.60"
4- 6.,"119,474.70","70,072.50","68,632.50","56,957.90","2,984.80","14,151.10","1,203.80","25,472.20","4,169.50",-8.1,"1,428.90","18,544.50","17,115.60",,"2,700.10","4,444.70","1,744.60","122,174.70",,"118,045.70","88,412.20","29,633.50",,"21,305.40",,"117,735.20","67,488.60","18,478.30","17,115.60"
7- 9.,"119,258.50","72,016.60","70,454.10","58,770.40","3,270.10","15,834.10",121.8,"21,546.30","4,904.10",-56.8,"1,622.10","18,612.10","16,990.00",,"3,657.50","4,644.80",987.3,"122,915.90",,"117,636.30","91,242.70","26,393.70",,"24,008.40",,"117,564.50","69,328.10","18,545.90","16,990.00"
10-12.,"125,869.40","73,314.00","71,344.80","59,652.00","3,422.70","14,482.40","1,628.80","25,577.20","6,100.50",-9.1,"1,352.90","18,693.90","17,341.00",,"2,682.10","4,229.10","1,547.00","128,551.50",,"124,516.50","92,847.90","31,668.50",,"24,005.50",,"124,198.20","70,218.20","18,627.70","17,341.00"
2011/ 1- 3.,"115,924.90","69,086.50","67,967.70","56,294.40","3,258.60","17,477.50","-3,209.90","22,944.90","6,174.80",1.9,190.4,"18,247.00","18,056.60",,"4,219.30","5,322.80","1,103.50","120,144.20",,"115,734.50","86,612.80","29,121.70",,"26,911.00",,"114,274.80","66,848.60","18,180.80","18,056.60"
4- 6.,"115,236.90","69,480.10","67,884.90","56,254.40","3,103.10","13,960.70",689.1,"25,660.80","4,043.10",17.5,"-1,717.40","17,053.40","18,770.80",,"3,516.90","5,281.80","1,764.90","118,753.90",,"116,954.40","87,233.10","29,721.30",,"21,106.90",,"113,698.50","66,888.80","16,978.90","18,770.80"
7- 9.,"116,392.10","71,850.20","70,138.10","58,505.20","3,548.40","15,743.20",-370.9,"21,719.40","4,660.90",12.2,-771.2,"18,529.20","19,300.40",,"4,050.20","5,250.80","1,200.60","120,442.30",,"117,163.30","90,770.80","26,392.50",,"23,952.40",,"114,910.10","69,176.00","18,454.70","19,300.40"
10-12.,"124,024.80","73,827.50","71,733.80","60,097.70","3,528.90","15,966.20",963.6,"25,791.50","5,641.60",13.4,"-1,707.80","17,736.20","19,444.00",,"2,888.60","4,526.70","1,638.10","126,913.50",,"125,732.70","94,286.10","31,446.60",,"25,136.70",,"122,560.40","70,778.40","17,661.70","19,444.00"
2012/ 1- 3.,"118,516.70","71,271.60","69,994.20","58,359.60","3,233.80","18,646.70","-2,712.70","23,477.10","6,458.70",23.6,"-1,882.00","17,892.60","19,774.60",,"4,300.30","5,509.10","1,208.80","122,817.10",,"120,398.80","90,439.30","29,959.50",,"28,339.10",,"117,035.60","69,020.50","17,818.10","19,774.60"
4- 6.,"118,014.40","71,182.00","69,464.20","57,830.80","3,232.80","15,089.30",890.2,"25,679.70","4,029.30",-1,"-2,087.90","18,026.00","20,113.90",,"3,515.90","5,528.30","2,012.30","121,530.30",,"120,102.30","90,394.30","29,708.00",,"22,351.40",,"116,665.70","68,620.00","17,945.30","20,113.90"
7- 9.,"115,701.00","71,839.70","70,007.90","58,376.80","3,567.40","16,223.90",-119.4,"21,953.30","4,638.80",-6.3,"-2,396.30","17,133.00","19,529.30",,"4,210.30","5,375.60","1,165.20","119,911.40",,"118,097.40","91,511.60","26,585.70",,"24,430.10",,"114,399.10","69,198.90","17,052.30","19,529.30"
